participant_id,number_epochs,missing_epochs
sub-AN01LE,51,9
sub-AN03NU,60,0
sub-AN14NE,56,4
sub-AN20SC,41,19
sub-AN24KI,59,1
sub-BA07AN,44,16
sub-BA11SC,25,35
sub-BE27KA,45,15
sub-BI19KI,38,22
sub-BI20LE,52,8
sub-CA26NM,31,29
sub-CH03KA,55,5
sub-CH06BA,45,15
sub-CH08GE,46,14
sub-CH23WU,51,9
sub-CS27ES,51,9
sub-DI25KL,49,11
sub-DO06CL,51,9
sub-DO09RE,54,6
sub-DO25BA,54,6
sub-DO29CU,58,2
sub-EL06HE,44,16
sub-EL16KI,35,25
sub-EL17OS,43,17
sub-EL21NE,57,3
sub-EL27KA,52,8
sub-EM05EL,60,0
sub-FR16GE,57,3
sub-GA07NE,46,14
sub-GA12KO,56,4
sub-GE05TI,55,5
sub-GE23IZ,48,12
sub-GI30KI,58,2
sub-HA04HA,30,30
sub-HE01HA,56,4
sub-HE22FO,45,15
sub-HE25KI,36,24
sub-HE28OS,56,4
sub-HI06DU,43,17
sub-HI22NE,7,53
sub-HI26ME,43,17
sub-IL11GR,56,4
sub-IM31KI,12,48
sub-IN18DR,58,2
sub-IN23HE,35,25
sub-IR16MO,48,12
sub-IS17KI,49,11
sub-JA04NE,47,13
sub-KA01EC,34,26
sub-KA05KI,32,28
sub-KA08LU,26,34
sub-KA27KI,45,15
sub-KA30FL,58,2
sub-KO04PA,57,3
sub-KR04BE,55,5
sub-LO12EC,53,7
sub-LU22FR,58,2
sub-MA11FL,45,15
sub-MA26WO,24,36
sub-MA30HA,59,1
sub-MO09MU,40,20
sub-MO09NE,53,7
sub-MO18NE,54,6
sub-RE03IT,47,13
sub-RE17PR,44,16
sub-RE22KI,56,4
sub-RE28PU,53,7
sub-SE04SJ,56,4
sub-SI05PR,57,3
sub-SI23BA,54,6
sub-SU17HU,56,4
sub-SY22KI,47,13
sub-UR16RE,59,1
sub-UR24BI,40,20
sub-UT16FL,30,30
sub-VE18OL,53,7
sub-WI17PE,13,47
sub-YV23KA,51,9
